sample,d13C(vpdb),TOC(%)
FKGN4067_PLASMA_SS1,-17.16,34.79
GCMT02_GC,-16.84,32.15
GCMT12_GC,-15.17,22.45
GCMT13_GC,-14.41,25.87
GCMT4003_GUTCONT.,-13.53,29.57
GCMT4001_TAIL,-14.66,28.9
HCDB4001_SCALES,-13.75,43.56
HCDB31_GC,-14.48,22.43
HCDB4002_SCALES,-12.93,42.77
HCGN04_PLASMA,-16.63,41.3
HCGN4001_SCALE,-14.66,41.93
HCGN4005_SOLIDS,-16.66,44.71
HCGN4007_PLASMA,-19.07,44.54
HCGN4008_SCALES,-14.41,47.8
HCGN4009_PLASMA,-16.72,38.44
HCGN4010_PLASMA,-17.33,34.42
HCGN4013_TISSUE,-14.09,44.77
HCGN4014_SCALE,-14.7,36.73
HCGN4021_TISSUE,-15.48,48.1
HCGN4029_PLASMA,-17.81,49.6
HCGN4032_PLASMA,-16.25,46.71
HCGN4047_PLASMA,-16.79,47.28
HCGN4063_SCALE,-15.82,37.07
HCGN4065_SCALES,-14.77,47.86
HCGN4012_PLASMA,-15.33,42.25
HCGN4002_SCALE,-15.49,40.77
HCGN4004_GUTCONTENT,-15.4,27.74
HCGN4011_TISSUES,-12.67,37.05
HCGN4020_TISSUE,-14.19,38.56
HCGN4062_SCALES,-14.03,42.48
HCGN4063_PLASMA,-18.06,43.44
HCGN4065_SCALE,-15.26,41.66
HCGN4066_TISSUE,-13.59,46.03
HCGN4068_PLASMA_SS1,-16.79,39.22
HCMT13_SC,-14.02,41.75
HCTR4006_SCALES,-12.95,43.35
HCTR4010_GUT.COUT,-15.19,22.54
HCTR4023_SCALES,-15.47,39.14
HCTR4023_PLASMA,-16.79,44.2
HCTR4026_PLASMA,-15.2,32.83
HCTR4026_SCALES,-13.75,43.89
HCTR4028_SCALE,-13.89,41.64
HCTR4030_PLASMA_SS2,-14.79,37.86
HCTR4030_PLASMA_SS4,-17.67,36.67
HCTR4031_PLASMA,-16.73,39.7
HCTR4035_PLASMA_SS4,-17.81,40.78
HCTR4036_PLASMA_SS3,-15.15,10.03
HCTR4005_SCALES,-12.92,38.59
HCTR4025_PLASMA_SS3,-17.9,30.34
HCTR4027_SCALE,-15.47,41.59
HCTR4034_SCALE,-15.11,30.52
HCTR4035_PLASMA_SS2,-15.7,39.1
HDGN4020_SCALES,-14.58,37.39
HSDB126_GC,-12.13,30.66
HSDB4092_PLASMA_SP,-17.13,37.48
HSDB51_GC,-14.1,24.11
HSDB03_GC,-12.4,24
HSDB151_SC,-13.97,35.25
HSDB161_SCALES,-15.83,44.57
HSDB168_GC,-16.41,16.65
HSDB174_GC,-13.18,21.27
HSDB44_GC,-13.67,29.52
HSDB77_GC,-11.61,21.04
HSDB85-1_GC,-15.69,19.78
HSGN40005_SCALE,-13.16,42.19
HSGN4005_SCALES,-14.35,40.43
HSGN4011_PLASMA,-16.55,46.95
HSGN4012_PLASMA,-17.26,47.18
HSGN4025_PLASMA,-16.58,39.33
HSGN4029_PLASMA,-17.31,42.06
HSGN4032_PLASMA,-15.68,44.55
HSGN4035_PLASMA,-16.86,48.67
HSGN4036_PLASMA,-15.67,41.84
HSGN4041_PLASMA,-16.97,45.3
HSGN4047_PLASMA,-16.96,34.58
HSGN4048_PLASMA,-17.94,45.15
HSGN4065_SOLIDS,-14.21,36
HSGN4080_PLASMA,-16.09,41.96
HSGN4081_SCALES,-14.33,40.81
HSGN4082_SCALE,-14.32,41.32
HSGN4085_PLASMA,-16.61,41.07
HSGN4089_PLASMA,-17.95,38.3
HSGN4104_SCALE,-16.3,53.44
HSGN4106_PLASMA_SS3,-16.44,17.56
HSGN4107_SCALES,-11.9,43.46
HSGN4108_PLASMA,-16.42,48.53
HSGN4110_PLASMA,-17.53,38.92
HSGN4114_SCALES,-12.59,37.09
HSGN4120_SCALE,-14.58,37.46
HSGN_4018_PLASMA,-15.83,41.05
HSGN4003_GUT_CONT,-15.25,28.22
HSGN4013_SCALE,-14.19,40.57
HSGN4029_PLASMA,-18.11,40.57
HSGN4045_PLASMA,-17.39,40.64
HSGN4049 _PLASMA,-16.08,45.24
HSGN4064_PLASMA,-16.97,42.21
HSGN4093_SCALES,-15.08,41.68
HSGN4102_PLASMA,-16.55,41.46
HSGN4117_SCALES,-13.47,38.91
HSGN4119_PLASMA,-15.2,38.97
HSGN4122_SCALE,-13.95,42.3
HSMT12_SCALES,-14.35,43.56
HSMT10_SC,-12.52,41.9
HSMT47_GC,-12.07,20.53
HSRP4004_PLASMA,-16.59,28.98
HSRP4010_PLASMA,-17.9,47.72
HSRP4010_PLASMA,-16.52,50.35
HSRP4018_SCALE,-14.41,47.85
HSRP4026_SCALES,-14.47,40.05
HSRP4001_PLASMA,-15.89,41.56
HSRP4005_SOLIDS,-16.83,45.63
HSRP4017_PLASMA,-16.24,44.19
HSRP4024_PLASMA,-15.79,43.95
HSTR4005_SCALE,-17.05,40.37
HSTR4005_SCALES,-14.18,39.54
HSTR4028_SCALES,-12.62,45.26
HSTR4007_SCALES,-14.11,45.01
HSTR4008_GUTCONT,-16.6,42.16
HSTR4036_PLASMA,-16.86,37.53
HSTR4037_SCALE,-12.16,15.87
