sample,d15N (per mil N2 air),TN(%)
FKGN4067_PLASMA_SS1,13.5,7.3
GCMT02_GC,12.3,8.8
GCMT12_GC,8.6,8.7
GCMT13_GC,13.2,8.5
GCMT4001,14,8.4
GCMT4003_GUTCONT,11.9,5.4
HCDB31_GC,17.9,6.9
HCDB4001_SCALES,14.2,10.9
HCDB4002_SCALES,15.1,13.8
HCGN04_PLASMA,11.9,8.6
HCGN4001_SCALES,15.4,15
HCGN4002_SCALES,14.1,15
HCGN4004_GUTCONTENT,12.2,7.2
HCGN4005,14.8,15.9
HCGN4005_SOLIDS,13.6,11.1
HCGN4007_PLASMA,14.2,15.6
HCGN4008_SCALES,13.8,15.4
HCGN4009_PLASMA,13.6,11.1
HCGN4010_PLASMA,14.2,9.1
HCGN4012_PLASMA,14.3,7.3
HCGN4013_TISSUE,13.2,15.3
HCGN4014,15.5,10.1
HCGN4014_SCALE,15,15.4
HCGN4020_TISSUE,13.6,16.1
HCGN4021_TISSUE,13.4,15.7
HCGN4029_PLASMA,13.8,7.3
HCGN4047_PLASMA,14.2,4.2
HCGN4061,14.5,16.7
HCGN4062_SCALES,14.9,17
HCGN4063_PLASMA,14.3,15.7
HCGN4066_TISSUE,14.2,16.8
HCGN4068_PLASMA_SS1,14.4,9.6
HCGN4069_PLASMA,16.3,8.5
HCMT13_SC,15.2,17.7
HCTR4005_SCALES,16.6,13.9
HCTR4006_SCALES,14.5,23.5
HCTR4008_GUTCONT,11.2,6.1
HCTR4010_GUTCONT,10.3,5.7
HCTR4023_SCALES,14.4,14.6
HCTR4023_PLASMA,14.1,11.2
HCTR4025_PLASMA_SS3,13.6,10.1
HCTR4026_PLASMA,13.4,6.5
HCTR4026_SCALES,13.9,16.2
HCTR4027_SCALE,13.7,16.6
HCTR4030_PLASMA_SS2,14,8.2
HCTR4030_PLASMA_SS4,13.3,7.9
HCTR4031_PLASMA_SS1,14.3,7.5
HCTR4034_SCALE,13.3,14.8
HCTR4035_PLASMA_SS2,13.2,8.7
HCTR4035_PLASMA_SS4,13.5,9.8
HCTR4036_PLASMA,15.4,10.5
HCTR4036_PLASMA_SS3,13.7,7
HSBP4010_PLASMA,14.6,10.1
HSDB03_GC,11.9,7.4
HSDB126_GC,14.4,13.6
HSDB151_SC,14.9,18.9
HSDB161_SCALES,15.9,14.6
HSDB168_GC,10.6,5.5
HSDB174_GC,13,8.5
HSDB2441_GC,13.5,8.1
HSDB51_GC,12.7,8.2
HSDB77_GC,15.9,8.6
HSDB85.1_GC,11.5,8.6
HSGN110_PLASMA,15.7,9.5
HSGN4003_GUTCONT,11.5,8.4
HSGN4005_SCALES,12.9,15.2
HSGN4010_PLASMA,13.9,10.8
HSGN4011_PLASMA,14.4,13.7
HSGN4011_TISSUE,12.2,15.2
HSGN4012_PLASMA,13.9,11.6
HSGN4013_SCALE,14.4,14.3
HSGN4018_PLASMA,15.9,9.6
HSGN4020,14.7,14.7
HSGN4024_PLASMA,14.4,10.4
HSGN4025_PLASMA,16.1,10.8
HSGN4029_PLASMA,14.1,9.2
HSGN4029_PLASMA,13,6.5
HSGN4032_PLASMA,14.4,13.5
HSGN4032_PLASMA,14.1,12.2
HSGN4035_PLASMA,14.9,8.9
HSGN4035_PLASMA,15.6,9.1
HSGN4036_PLASMA,14.7,10.5
HSGN4041_PLASMA,15.4,9.9
HSGN4045_PLASMA,14.4,10.8
HSGN4047_PLASMA,14.6,10.1
HSGN4048_PLASMA,14,12.1
HSGN4049_PLASMA,14.9,11.3
HSGN4064_PLASMA,14.7,11.6
HSGN4065,14.6,17.5
HSGN4065_SOLIDS,15.1,9.3
HSGN4080_PLASMA,15,5.6
HSGN4081_SCALES,13.9,15.7
HSGN4082_SCALE,13.9,16.1
HSGN4089_PLASMA,14.4,11.3
HSGN4092_PLASMA,15.1,10.2
HSGN4098_SCALE,14.4,16.2
HSGN4104_SCALE,13.4,15.7
HSGN4106_PLASMA_SS3,16.5,9.3
HSGN4107_SCALES,13.4,16.2
HSGN4108_PLASMA,16,10.7
HSGN4114_SCALES,13.8,16.1
HSGN4117_SCALES,13.5,16.3
HSGN4119_PLASMA,15.9,9.9
HSGN4120_SCALE,12.5,9.9
HSGN4122_SCALE,14.8,17.4
HSGNG102_PLASMA,20.5,6.8
HSMT10_SC,15.4,14.6
HSMT12_SCALES,15.5,14.5
HSMT47_GC,12,8.5
HSRP4001_PLASMA,14.6,12.9
HSRP4004_PLASMA,14.7,8.7
HSRP4005_SOLIDS,15.4,9.9
HSRP4017_PLASMA,15.3,10.4
HSRP4018_SCALE,13.1,16.5
HSRP4026_SCALES,14.5,9.4
HSTB4007_SCALES,15.2,14.8
HSTR4005_SCALES,16.9,15.2
HSTR4028_SCALE,14.5,16.3
HSTR4028_SCALES,14,16.2
HSTR4037_SCALE,14.8,15.3
