Date,Field Code,Tissue type,Sample Amount N (mg),d15N (N2 air),TN (%),Sample Amount C (mg),d13C (vpdb),TOC (%)
18-04-2018,GCGNO1,Gut Content,1.64,13.57,9,0.722,-13,29.07
07-05-2018,GCMT09,Gut Content,1.149,11.56,8,0.528,-14.26,24.54
08-05-2018,GCMT11,Gut Content,0.986,11.43,6,0.494,-17.37,29.88
13-05-2018,GCMT16,Gut Content,1.28,14.27,8,0.389,-14.02,27.42
17-04-2018,GCMT3,Gut Content,1.285,12.9,9,0.74,-15.36,25.7
08-02-2018,HCDB12 ,Gut Content,0.851,11.5,7,0.538,-14.44,21.14
09-03-2018,HSDB125,Gut Content,,,,0.62,-13.12,31.61
09-03-2018,HSDB126,Gut Content,1.097,14.99,11,,,
09-03-2018,HSDB208,Gut Content,1.06,12.33,9,0.435,-13.36,26.15
17-01-2018,HSDB23,Gut Content,0.724,12.32,11,0.319,-15.14,30.37
18-01-2018,HSDB28.2 ,Gut Content,1.053,12.93,9,0.488,-13.08,30.68
22-01-2018,HSDB57,Gut Content,1.017,14.92,9,0.604,-13.24,21.12
01-01-2018,HCDB07,Plasma,0.631,13.08,9,0.221,-18.3,46.61
08-02-2018,HCDB11,Plasma,0.665,12.5,9,0.356,-18.05,48.58
22-02-2018,HCDB25,Plasma,0.541,13.65,9,0.391,-16.82,44
03-03-2018,HCDB35,Plasma,0.504,13.01,12,0.457,-17.89,45.19
09-03-2018,HCDB836,Plasma,1.127,13.93,11,0.25,-16.95,38.9
28-01-2018,HCMT22,Plasma,,,,0.569,-17.59,46
12-03-2018,HSBD149,Plasma,,,,0.291,-17.71,39.93
24-02-2018,HSDB116,Plasma,0.885,15.3,12,0.578,-17.33,47.33
25-02-2018,HSDB117,Plasma,0.507,13.92,11,0.579,-15.86,37.83
03-03-2018,HSDB121,Plasma,0.595,14.04,13,0.579,-17.58,46.89
09-03-2018,HSDB124,Plasma,1.449,16.14,10,0.565,-14.8,39.52
09-03-2018,HSDB130,Plasma,1.028,14.03,11,0.247,-18.99,36.72
12-03-2018,HSDB149,Plasma,1.117,15.01,11,,,
14-03-2018,HSDB154,Plasma,0.782,15.62,11,0.434,-15.97,37.58
22-03-2018,HSDB167,Plasma,0.938,15.94,10,0.528,-16.24,40.2
23-03-2018,HSDB169,Plasma,1.046,15.06,11,0.572,-16.84,40.04
28-03-2018,HSDB176,Plasma,0.771,14.04,9,0.23,-16.54,41.93
04-04-2018,HSDB182,Plasma,0.825,14,9,0.512,-16.23,37.11
07-04-2018,HSDB187,Plasma,,,,0.455,-16.27,38.29
07-04-2018,HSDB189,Plasma,0.974,15.02,11,,,
20-04-2018,HSDB192,Plasma,1.352,15.83,10,0.35,-15.95,41.93
20-04-2018,HSDB193,Plasma,1.409,14.53,9,0.407,-16.95,43.89
23-01-2018,HSDB63,Plasma,0.837,13.87,8,0.239,-17.89,38.04
26-01-2018,HSDB72,Plasma,,,,0.016,-19.18,8.81
26-01-2018,HSDB73,Plasma,0.59,12.82,9,0.337,-15.31,36.93
27-01-2018,HSDB80,Plasma,0.999,14.43,7,0.279,-16.39,29.8
31-01-2018,HSDB84,Plasma,0.693,13.64,8,0.447,-17.41,49.17
29-03-2018,HSMT109,Plasma,0.634,14.07,12,0.405,-16.57,41.36
12-04-2018,HSMT142,Plasma,1.652,15.46,10,0.44,-14.86,46.7
06-02-2018,HSMT20,Plasma,0.468,12.16,10,0.527,-17.34,45.3
28-01-2018,HSMT22,Plasma,1.041,11.78,8,,,
05-03-2018,HSMT84,Plasma,1.071,15.25,10,0.476,-15.45,41.42
05-03-2018,HSMT85,Plasma,0.968,14.87,11,0.311,-17.51,43.56
07-03-2018,HSMT87,Scales,0.701,15.83,17,0.326,-14.56,46.63
07-03-2018,HSMT88,Scales,1.409,15.46,16,0.215,-16.28,47.2
07-03-2018,HSMT90,Scales,1.376,15.29,16,0.431,-15.21,45.84
07-02-2018,HCDB04,Scales,1.791,14.08,12,,,
01-01-2018,HCDB06,Scales,0.984,14.02,13,0.528,-16.47,52.29
07-02-2018,HCDB08,Scales,2.12,14.79,12,0.858,-15.85,48.59
07-02-2018,HCDB09,Scales,,,,0.465,-14.98,52.66
11-02-2018,HCDB16,Scales,1.191,13.57,12,0.382,-16.2,48.39
11-02-2018,HCDB17,Scales,1.136,17.88,12,0.393,-15.45,48.78
17-02-2018,HCDB18,Scales,0.767,15.04,13,0.594,-14.82,47.41
22-02-2018,HCDB28,Scales,1.152,14.81,13,0.493,-14.79,49.45
22-02-2018,HCDB29,Scales,0.454,14.33,14,0.355,-15.6,49.9
24-02-2018,HCDB34,Scales,1.405,14.66,16,0.476,-14.7,46.95
31-12-2017,HCMT05,Scales,1.108,14.23,12,0.258,-15.69,49.64
28-01-2018,HCMT22,Scales,1.701,12.9,12,0.635,-15.27,48.84
12-03-2018,HSD151,Scales,,,,0.553,-14,44.5
12-03-2018,HSDB151,Scales,1.928,15.56,17,,,
29-03-2018,HSDB177,Scales,0.803,15.08,13,0.516,-14.01,44.95
31-03-2018,HSDB178,Scales,0.932,16.03,15,0.483,-13.26,44.14
11-04-2018,HSDB190,Scales,1.09,15.9,16,0.67,-12.87,55.14
28-04-2018,HSDB194,Scales,1.181,15.28,15,0.44,-14.8,49.55
23-01-2018,HSDB63,Scales,0.831,14.44,13,0.49,-15.85,49.51
02-02-2018,HSDB90,Scales,2.32,15.31,12,0.402,-14.24,50.82
26-01-2018,HSMT21,Scales,0.773,11.56,12,0.511,-15.26,49.59
09-02-2018,HSMT36,Scales,,,,0.624,-15.85,47.96
09-02-2018,HSMT37,Scales,0.709,14.8,26,1.33,-16.09,45.44
09-02-2018,HSMT39,Scales,0.478,14.25,29,0.838,-19.19,46.67
09-02-2018,HSMT40,Scales,0.865,13.62,26,0.432,-14.49,48.34
09-02-2018,HSMT42,Scales,2.333,15.23,12,0.489,-14.89,48.84
12-02-2018,HSMT48,Scales,0.78,15.65,13,0.462,-15.07,51.02
05-03-2018,HSMT48,Scales,0.939,14.39,17,0.444,-15,48.55
12-02-2018,HSMT55,Scales,1.742,18.06,12,0.578,-15.13,50.54
05-03-2018,HSMT79,Scales,1.02,15.44,17,0.439,-14.57,47.93
05-03-2018,HSMT80,Scales,1.496,15.06,16,0.58,-15.44,47.09
05-03-2018,HSMT81,Scales,1.05,15.24,16,0.534,-14.93,46.84
05-03-2018,HSMT84,Scales,1.052,15.67,16,0.582,-13.38,48.77
07-03-2018,HSMT93,Scales,0.876,14.89,16,0.363,-14.37,46.06
,AD/71(5),,23.146,-14.07,0,,,
,AD/71(5),,3.836,556.17,2,,,
,F13F2W,,28.267,-13.25,0,,,
,F14F2W,,25.532,-8.16,0,,,
,F15F2W,,27.663,1.08,0,,,
