"Date","Boat.Name","Gear.Type","Total.Catch..kg."
"22-01-2018","e27e453c","Gill Net",110
"23-01-2018","f044fcbd","Gill Net",138
"25-01-2018","c51b36ef","Gill Net",280
"27-01-2018","a6820aa5","Gill Net",100
"28-01-2018","31ff2b4c","Gill Net",78
"02-02-2018","21e4068b","Gill Net",225
"03-02-2018","a6820aa5","Gill Net",315
"04-02-2018","c604a7d4","Gill Net",50
"04-02-2018","2b478693","Gill Net",12
"05-02-2018","402bc655","Gill Net",5
"06-02-2018","36fdfc51","Gill Net",6
"06-02-2018","8e8af0b1","Gill Net",175
"08-02-2018","33d169d3","Gill Net",350
"09-02-2018","933b26e2","Gill Net",420
"09-02-2018","8cc76521","Gill Net",350
"10-02-2018","a37f9b2b","Gill Net",155
"11-02-2018","28dfdd70","Gill Net",210
"11-02-2018","270af5cd","Gill Net",210
"11-02-2018","18f56f1e","Gill Net",50
"16-02-2018","45d47ee8","Gill Net",108
"17-02-2018","59f59f4f","Gill Net",48
"17-02-2018","b24f7693","Gill Net",130
"18-02-2018","a38bfbdf","Gill Net",185
"19-02-2018","94a191f8","Gill Net",140
"21-02-2018","ba6de2fd","Gill Net",126
"22-02-2018","33d169d3","Gill Net",350
"23-02-2018","439107ad","Gill Net",84
"24-02-2018","b24f7693","Gill Net",56
"25-02-2018","a3d2afd1","Gill Net",56
"07-03-2018","40bf8fef","Gill Net",56
"09-03-2018","8dc704b9","Gill Net",112
"12-03-2018","2a9b2624","Gill Net",30
"13-03-2018","c9d0f9f6","Gill Net",40
"21-03-2018","73ee2648","Gill Net",840
"22-03-2018","d193a291","Gill Net",50
"25-03-2018","74a349b7","Gill Net",154
"28-03-2018","54634151","Gill Net",210
"04-04-2018","c9d0f9f6","Gill Net",35
"05-04-2018","90ab1b0e","Gill Net",35
"06-04-2018","933b26e2","Gill Net",140
"01-11-2018","9cd2e656","Trawler",361.5
"02-01-2019","92001d26","Trawler",153
"02-11-2018","6879273a","Trawler",697.5
"03-11-2018","e376caa5","Trawler",185.5
"03-12-2018","f5be31ca","Trawler",1123.5
"04-01-2019","936a3142","Trawler",134.3
"04-03-2019","9cd2e656","Trawler",209.8
"04-04-2019","177a67db","Trawler",314.3
"05-02-2019","6422cff5","Trawler",457.6
"05-12-2018","9424727f","Trawler",304.5
"06-11-2018","36fdfc51","Trawler",1089
"06-12-2018","35f4a08f","Trawler",43.3
"07-02-2019","43367309","Trawler",96.5
"07-11-2018","c75c7e31","Trawler",1187.5
"08-03-2019","7852c19f","Trawler",128
"08-04-2019","804168bc","Trawler",161.9
"09-01-2019","6879273a","Trawler",326
"11-03-2019","00685705","Trawler",229.6
"11-12-2018","804168bc","Trawler",58.5
"12-12-2018","345dff06","Trawler",187
"13-02-2019","177a67db","Trawler",436.3
"13-03-2019","631ac303","Trawler",213.2
"13-11-2018","f93b4157","Trawler",577.5
"15-03-2019","6422cff5","Trawler",222.75
"15-11-2018","88d44a23","Trawler",725
"16-11-2018","c35887a3","Trawler",89
"17-01-2019","9cd2e656","Trawler",29
"18-03-2019","00685705","Trawler",244
"18-12-2018","88d44a23","Trawler",72.5
"19-01-2019","c35887a3","Trawler",56
"19-02-2019","6070bb76","Trawler",208
"19-04-2019","6879273a","Trawler",158.25
"19-11-2018","01b503f9","Trawler",46.5
"20-12-2018","92001d26","Trawler",203.5
"21-02-2019","3e86d36d","Trawler",396
"21-03-2019","3397aac0","Trawler",163
"23-03-2019","04eb1e18","Trawler",344.8
"23-11-2018","3397aac0","Trawler",265.1
"24-12-2018","936a3142","Trawler",234.5
"25-02-2019","01b503f9","Trawler",178.4
"25-03-2019","00685705","Trawler",135.2
"25-12-2018","cbf8ff9c","Trawler",421
"26-04-2019","00685705","Trawler",164.75
"27-02-2019","328ad122","Trawler",129
"27-11-2018","6422cff5","Trawler",853
"28-01-2019","c8fce031","Trawler",318.25
"29-03-2019","c927ea29","Trawler",990.5
"29-04-2019","6f42dd9d","Trawler",84
"29-11-2018","ec3c5666","Trawler",1014
"30-01-2019","35f4a08f","Trawler",118.5
