"","Snake.Species","Prey.Family","Prey.Species","N","Perc"
"1","Hydrophis curtus","Carangidae","Alepes sp.",15,13.3333333333333
"2","Hydrophis curtus","Carangidae","Caranx heberi",15,13.3333333333333
"3","Hydrophis curtus","Clupeidae","Sardinella longiceps",15,6.66666666666667
"4","Hydrophis curtus","Clupeidae","Sardinella sp.",15,13.3333333333333
"5","Hydrophis curtus","Engraulidae","Thryssa dussumieri",15,6.66666666666667
"6","Hydrophis curtus","Leiognathidae","Leiognathus sp.",15,13.3333333333333
"7","Hydrophis curtus","Nemipteridae","Nemepteris sp.",15,6.66666666666667
"8","Hydrophis curtus","Scombridae","Rastrelliger kanagurta",15,13.3333333333333
"9","Hydrophis curtus","Serranidae","Epinephelus diacanthus",15,6.66666666666667
"10","Hydrophis curtus","Tetraodontidae","Lagocephalus inermis",15,6.66666666666667
"11","Hydrophis schistosus","Ariidae","Arius caelatus",62,1.61290322580645
"12","Hydrophis schistosus","Ariidae","Arius maculatus",62,3.2258064516129
"13","Hydrophis schistosus","Ariidae","Arius sp.",62,4.83870967741935
"14","Hydrophis schistosus","Carangidae","Megalapsis cordyla",62,1.61290322580645
"15","Hydrophis schistosus","Clupeidae","Sardinella longiceps",62,1.61290322580645
"16","Hydrophis schistosus","Clupeidae","Sardinella sp.",62,4.83870967741935
"17","Hydrophis schistosus","Leiognathidae","Leiognathus brevirostris",62,1.61290322580645
"18","Hydrophis schistosus","Plotosidae","Plotosus lineatus",62,6.45161290322581
"19","Hydrophis schistosus","Plotosidae","Plotosus sp.",62,3.2258064516129
"20","Hydrophis schistosus","Scombridae","Rastrelliger kanagurta",62,1.61290322580645
"21","Hydrophis schistosus","Serranidae","Epinephelus diacanthus",62,6.45161290322581
"22","Hydrophis schistosus","Serranidae","Epinephelus sp.",62,1.61290322580645
"23","Hydrophis schistosus","Sillaginidae","Sillago sihama",62,1.61290322580645
"24","Hydrophis schistosus","Teraponidae","Terapon puta",62,3.2258064516129
"25","Hydrophis schistosus","Teraponidae","Terapon sp.",62,1.61290322580645
"26","Hydrophis schistosus","Teraponidae","Terapon theraps",62,3.2258064516129
"27","Hydrophis schistosus","Tetraodontidae","Arothron sp.",62,3.2258064516129
"28","Hydrophis schistosus","Tetraodontidae","Chelonodon laticeps",62,6.45161290322581
"29","Hydrophis schistosus","Tetraodontidae","Lagocephalus inermis",62,41.9354838709677
